func_id,avg_duration,median_duration,std_duration,min_duration,max_duration,call_count,first_invocation,last_invocation,call_frequency,cold_start_count,cold_start_ratio,estimated_memory,avg_duration_norm,median_duration_norm,std_duration_norm,call_frequency_norm,cold_start_ratio_norm,estimated_memory_norm,log_call_count,log_call_count_norm
03e48744252ef7220ab21528a5ccb8ad865450cf5fd2b923ba8ef0a11f82a8fe_b79fd16b8a140c845f8cc7fc6753143e41fdccd2b9c11fd6f5f721847edcd68d,9.30096153846154,1.1995,20.803758934347936,0.19,80.158,26,144180.23487496376,1079131.4261319635,2.7808938309436424e-05,15,0.5769230769230769,91.37980575015392,0.05675357021785177,0.007847434618341212,0.1585748131318263,7.582844003614676e-07,0.5769012170014546,0.7580726005774299,3.295836866004329,0.20824645071028078
046b5f12d0ed300f37f207b6fb77b87e23fad3a7480d764b0f278e9822b945a0_1a453e98528575570c5f1fe5801986a6b529120126f4a17517100aee4fec6dcf,11.668362596435221,5.598,23.712869314214895,0.027,202.424,3759,834510.0329260826,1099515.537432909,0.01418461102155397,39,0.010375099760574621,93.64722104803087,0.07119947143252481,0.036623542303855026,0.18075000351691975,0.00042183115372110166,0.010323966924972708,0.7771930382314124,8.23217423638394,0.6032127590792934
046b5f12d0ed300f37f207b6fb77b87e23fad3a7480d764b0f278e9822b945a0_2055fbe5079ed7985f3c32f5c1dab88ca19000a18a09649a9ad4d0b63f3993a5,13.819612914525921,3.8034999999999997,25.08415248039437,0.137,178.8,8564,834472.3724780083,1099502.9414520264,0.032313253649014204,22,0.002568893040635217,95.33916446159213,0.0843264190101235,0.02488346608658674,0.19120284349588756,0.0009610404697197809,0.002517356866874787,0.7914606929408762,9.05543941075822,0.669083866002112
046b5f12d0ed300f37f207b6fb77b87e23fad3a7480d764b0f278e9822b945a0_a492f48a835e6a93e76b0835db2a0c4a6878d122cbde2599689e23159529a047,1.06417094017094,0.062,3.958375296478207,0.017,28.51,117,834815.0266020298,1099316.6492259502,0.00044234133174432554,27,0.23076923076923078,69.70890572466384,0.006492604544930097,0.00040561979686298886,0.030168001253899897,1.3087929422143021e-05,0.23072948545719035,0.5753283572837354,4.770684624465665,0.3262519942659456
046b5f12d0ed300f37f207b6fb77b87e23fad3a7480d764b0f278e9822b945a0_c7443711dc262486465d6b74ccce9195206371fc0eb520c310075093101b67b6,13.877588235294118,6.005,16.68841461434657,0.204,40.399,85,1015388.9545199872,1091263.121274948,0.0011202758940933304,3,0.03529411764705882,95.38102516733161,0.08468018490622528,0.0392862400026169,0.12720489866319182,3.3252077349156525e-05,0.035244272349841045,0.7918136918004115,4.454347296253507,0.3009412066619645
046b5f12d0ed300f37f207b6fb77b87e23fad3a7480d764b0f278e9822b945a0_ec1e4c011edbec51aa93315e0370368dd92391b42c9b08b0eaec28a78f660cd2,12.047163265306123,9.42,8.986369039000234,0.176,44.954,441,924445.3550009727,1091429.434226036,0.0026409703370919237,7,0.015873015873015872,93.96667501185085,0.07351091630754097,0.061628040104021856,0.06849474171281077,7.848285536726452e-05,0.01582216710872286,0.7798868983302909,6.091309882077698,0.43191788450022445
06da275043bac5526d5c2252a4daa222bb062165977f111b693ed8d335917291_31aa5ab69d7730086b08f4303aa2ac3244c639866908fc3412bdfdc79ba39c22,0.6738075956067222,0.515,1.9157578254632615,0.234,81.751,7557,7562.328145980835,622097.6840159893,0.012297095566294021,5,0.000661638216223369,65.144276066943,0.004110604125351523,0.0033692612158780525,0.014597800955846571,0.00036568983423665224,0.0006100034966933609,0.5368361953645266,8.930361883909434,0.6590761608286724
06da275043bac5526d5c2252a4daa222bb062165977f111b693ed8d335917291_426930ee2324a425c25463ff35403f47f2f86624df705f5cc0fde7694d855c42,0.5864882747068677,0.4385,1.7643703654660103,0.218,60.211,1194,7573.703654050827,622125.4664990902,0.0019428794646563724,9,0.007537688442211055,63.75856287873394,0.0035777808930550475,0.0028687787245874293,0.013443824203851245,5.771918819337917e-05,0.007486409000671436,0.5251508889073192,7.085901464365611,0.5114971628429733
06da275043bac5526d5c2252a4daa222bb062165977f111b693ed8d335917291_b74c4ab0e0a6349700abbf5ca5f97d54005710f2289f96a42df946539971c7f3,0.016893714092598853,0.0,0.11114445602068763,0.0,2.312,5918,9065.954678058624,621470.0452570915,0.009663554001418384,6,0.001013856032443393,28.844494831615467,0.0001021100820891865,0.0,0.0008418275435540508,0.000287359085761325,0.0009622395116225004,0.23073095535262447,8.685922794690725,0.6395180963274261
0aab83a24e916a309c47a49ffdb2de16516035004fb258af68711b171d5dcd13_30a4d0cba7ee7eb44006113f4eea4b89a68d1e05789ad25f678077aeea9d7e8a,6.103,6.103,,6.103,6.103,1,260122.09508800507,260122.09508800507,1.0,1,1.0,87.16699572964293,0.037239581949011176,0.03992738097185195,,0.029743433025163024,1.0,0.7225472288377777,0.6931471805599453,0.0
